
╔═══════════════════════════════════════════════════════════════╗
║     CHAMPION ULTIMATE - REALTIME BACKTESTER                 ║
║     Strategy: CHAMPION_ULTIMATE | 93 tokens                 ║
║     Start: 1000 USDT | WebSocket ready                      ║
╚═══════════════════════════════════════════════════════════════╝
    
[LOAD] Stan załadowany: 54 swapów
[CONFIG] Strategy: L3 T0% I1s
[CONFIG] Update interval: 1.0s

 * Serving Flask app 'backend'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:12000
 * Running on http://10.2.56.187:12000
Press CTRL+C to quit
127.0.0.1 - - [19/Jul/2026 15:27:08] "POST /api/control HTTP/1.1" 200 -
127.0.0.1 - - [19/Jul/2026 15:29:14] "GET /api/export HTTP/1.1" 200 -
[INIT] Portfolio zainicjalizowane: 1000.0 USDT
[INIT] Baseline prices: 93 tokenów
[INIT] BTC price: $64544.65
[INIT] BTC amount: 0.01549315
[SWAP] ARB -> ADA | spread: 0.060%/0.060% | 10316.1730 -> 5569.3825 | $925.26 -> $924.52
[SWAP] ADA -> COMP | spread: 0.117%/0.117% | 5569.3825 -> 53.8008 | $923.96 -> $923.22
[SWAP] COMP -> OP | spread: 0.074%/0.074% | 53.8008 -> 9793.8770 | $922.15 -> $921.41
[SWAP] OP -> CRO | spread: 0.120%/0.120% | 9793.8770 -> 15707.4603 | $920.72 -> $919.99
[SWAP] CRO -> GRT | spread: 0.061%/0.061% | 15707.4603 -> 55587.6765 | $919.04 -> $918.31
[SWAP] GRT -> DOT | spread: 0.122%/0.122% | 55587.6765 -> 1115.5943 | $917.75 -> $917.02
[SWAP] DOT -> COMP | spread: 0.058%/0.058% | 1115.5943 -> 53.3873 | $915.79 -> $915.06
[SWAP] COMP -> CRO | spread: 0.120%/0.120% | 53.3873 -> 15610.8407 | $915.06 -> $914.33
[SWAP] CRO -> APE | spread: 0.069%/0.069% | 15610.8407 -> 6255.3785 | $913.39 -> $912.66
[SWAP] APE -> CRO | spread: 0.137%/0.137% | 6255.3785 -> 15553.9291 | $912.03 -> $911.30
[SWAP] CRO -> ZEC | spread: 0.024%/0.024% | 15553.9291 -> 1.6438 | $910.06 -> $909.33
[SWAP] ZEC -> SCRT | spread: 0.119%/0.119% | 1.6438 -> 21597.4025 | $909.55 -> $908.82
[SWAP] SCRT -> ZEC | spread: 0.040%/0.040% | 21597.4025 -> 1.6398 | $907.74 -> $907.01
[SWAP] ZEC -> CRO | spread: 0.154%/0.154% | 1.6398 -> 15459.5026 | $906.65 -> $905.93
[SWAP] CRO -> ZEC | spread: 0.036%/0.036% | 15459.5026 -> 1.6340 | $904.54 -> $903.81
[SWAP] ZEC -> CHZ | spread: 0.066%/0.066% | 1.6340 -> 59680.0059 | $903.68 -> $902.96
[SWAP] CHZ -> ENS | spread: 0.065%/0.065% | 59680.0059 -> 195.4563 | $902.36 -> $901.64
[SWAP] ENS -> KAVA | spread: 0.045%/0.045% | 195.4563 -> 20123.6673 | $901.05 -> $900.33
[SWAP] KAVA -> TIA | spread: 0.084%/0.084% | 20123.6673 -> 2528.7137 | $899.93 -> $899.21
[SWAP] TIA -> BB | spread: 0.111%/0.111% | 2528.7137 -> 49985.1543 | $898.45 -> $897.73
[SWAP] BB -> IMX | spread: 0.080%/0.080% | 49985.1543 -> 7145.2665 | $896.73 -> $896.02
[SWAP] IMX -> SEI | spread: 0.022%/0.022% | 7145.2665 -> 19242.5425 | $895.30 -> $894.59
[SWAP] SEI -> SCRT | spread: 0.190%/0.190% | 19242.5425 -> 21257.8022 | $894.39 -> $893.68
[SWAP] SCRT -> DYDX | spread: 0.025%/0.025% | 21257.8022 -> 7361.2804 | $892.83 -> $892.11
[SWAP] DYDX -> DOT | spread: 0.097%/0.097% | 7361.2804 -> 1084.5556 | $891.89 -> $891.18
[SWAP] DOT -> CRO | spread: 0.154%/0.154% | 1084.5556 -> 15180.8807 | $890.31 -> $889.60
[SWAP] CRO -> WLD | spread: 0.027%/0.027% | 15180.8807 -> 2402.6066 | $888.23 -> $887.52
[SWAP] WLD -> BAT | spread: 0.141%/0.141% | 2402.6066 -> 11350.3129 | $887.28 -> $886.57
[SWAP] BAT -> AGLD | spread: 0.067%/0.067% | 11350.3129 -> 5913.2105 | $885.32 -> $884.62
[SWAP] AGLD -> SCRT | spread: 0.143%/0.143% | 5913.2105 -> 21001.3764 | $884.02 -> $883.32
[SWAP] SCRT -> ARB | spread: 0.111%/0.111% | 21001.3764 -> 9803.8495 | $882.27 -> $881.56
[SWAP] ARB -> NIL | spread: 0.057%/0.057% | 9803.8495 -> 24996.5181 | $880.58 -> $879.88
[SWAP] NIL -> CRO | spread: 0.137%/0.137% | 24996.5181 -> 14996.9986 | $879.38 -> $878.67
[SWAP] CRO -> ZEC | spread: 0.031%/0.031% | 14996.9986 -> 1.5831 | $877.47 -> $876.77
[SWAP] ZEC -> CRO | spread: 0.137%/0.137% | 1.5831 -> 14947.9836 | $876.50 -> $875.80
[SWAP] CRO -> ZEC | spread: 0.025%/0.025% | 14947.9836 -> 1.5783 | $874.61 -> $873.91
[SWAP] ZEC -> SLP | spread: 0.072%/0.072% | 1.5783 -> 1563372.4883 | $873.69 -> $872.99
[SWAP] SLP -> CRO | spread: 0.154%/0.154% | 1563372.4883 -> 14874.8140 | $872.36 -> $871.66
[SWAP] CRO -> XRP | spread: 0.018%/0.018% | 14874.8140 -> 792.1564 | $870.33 -> $869.63
[SWAP] XRP -> GALA | spread: 0.049%/0.049% | 792.1564 -> 424413.9597 | $869.47 -> $868.78
[SWAP] GALA -> ENS | spread: 0.065%/0.065% | 424413.9597 -> 187.7232 | $868.35 -> $867.66
[SWAP] ENS -> SCRT | spread: 0.119%/0.119% | 187.7232 -> 20594.2409 | $867.09 -> $866.40
[SWAP] SCRT -> MAGIC | spread: 0.048%/0.048% | 20594.2409 -> 20780.4811 | $865.58 -> $864.88
[SWAP] MAGIC -> CRO | spread: 0.137%/0.137% | 20780.4811 -> 14742.7304 | $864.47 -> $863.78
[SWAP] CRO -> ZEC | spread: 0.022%/0.022% | 14742.7304 -> 1.5547 | $862.60 -> $861.91127.0.0.1 - - [19/Jul/2026 15:32:32] "GET /api/export HTTP/1.1" 200 -
